legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
12ace2050ae312b0223484a949eaf227,2022-04-16,2022-04-17,ATL,DTW,KA0NX0MC,PT8H45M,1,FALSE,FALSE,FALSE,486.51,552.2,7,1247,1650250500||1650276000,2022-04-17T22:55:00.000-04:00||2022-04-18T06:00:00.000-04:00,1650257940||1650282000,2022-04-18T00:59:00.000-04:00||2022-04-18T07:40:00.000-04:00,EWR||DTW,ATL||EWR,Delta||Delta,DL||DL,Airbus A320||Airbus A220-100,7440||6000,762||485,coach||coach
b7e9d5608f5229a877feac67724aec15,2022-04-16,2022-04-17,ATL,DTW,KA0NX0MC,PT10H46M,1,FALSE,FALSE,FALSE,486.51,552.2,9,1247,1650243240||1650276000,2022-04-17T20:54:00.000-04:00||2022-04-18T06:00:00.000-04:00,1650250860||1650282000,2022-04-17T23:01:00.000-04:00||2022-04-18T07:40:00.000-04:00,EWR||DTW,ATL||EWR,Delta||Delta,DL||DL,Boeing 737-800||Airbus A220-100,7620||6000,762||485,coach||coach
0f536d8eda9ea2c48469923d59f40b58,2022-04-16,2022-04-17,ATL,DTW,KA0NA0MC,PT5H18M,0,FALSE,FALSE,FALSE,512.56,574.6,6,963,1650198480||1650210540,2022-04-17T08:28:00.000-04:00||2022-04-17T11:49:00.000-04:00,1650202680||1650217560,2022-04-17T09:38:00.000-04:00||2022-04-17T13:46:00.000-04:00,MYR||DTW,ATL||MYR,Delta||Delta,DL||DL,Boeing 717||Airbus A320,4200||7020,328||635,coach||coach
78c432359d52a35017d0abf03082c803,2022-04-16,2022-04-17,ATL,DTW,QA0OX0MC,PT9H15M,1,FALSE,FALSE,FALSE,509.77,577.2,1,649,1650243240||1650273420,2022-04-17T20:54:00.000-04:00||2022-04-18T05:17:00.000-04:00,1650249420||1650276540,2022-04-17T22:37:00.000-04:00||2022-04-18T06:09:00.000-04:00,CLE||DTW,ATL||CLE,Delta||Delta,DL||DL,Airbus A320||Airbus A319,6180||3120,556||93,coach||coach
da18d6231dcb999e8c0ea86603c8dab3,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT8H9M,0,FALSE,FALSE,FALSE,528.38,591.61,9,1640,1650200100||1650218700,2022-04-17T08:55:00.000-04:00||2022-04-17T14:05:00.000-04:00,1650206460||1650229440,2022-04-17T10:41:00.000-04:00||2022-04-17T17:04:00.000-04:00,PBI||DTW,ATL||PBI,Delta||Delta,DL||DL,Airbus A321||Boeing 737-900,6360||10740,546||1094,coach||coach
dd8bbcbd75ca6a8df081ecf64020cd6f,2022-04-16,2022-04-17,ATL,DTW,UA0NX0MC,PT8H15M,1,FALSE,FALSE,FALSE,532.09,601.2,4,726,1650252000||1650277500,2022-04-17T23:20:00.000-04:00||2022-04-18T06:25:00.000-04:00,1650257760||1650281700,2022-04-18T00:56:00.000-04:00||2022-04-18T07:35:00.000-04:00,PIT||DTW,ATL||PIT,Delta||Delta,DL||DL,Airbus A321||Embraer 170,5760||4200,528||198,coach||coach
03c43124ffe6517a37bc66ef128ca072,2022-04-16,2022-04-17,ATL,DTW,QA0UA0MC,PT10H59M,1,FALSE,FALSE,FALSE,551.62,622.19,7,1685,1650243360||1650274800,2022-04-17T20:56:00.000-04:00||2022-04-18T05:40:00.000-04:00,1650252600||1650282900,2022-04-17T23:30:00.000-04:00||2022-04-18T07:55:00.000-04:00,PWM||DTW,ATL||PWM,Delta||Delta,DL||DL,Airbus A319||Airbus A319,9240||8100,1028||657,coach||coach
e00ae7e2cb44bfc94452db9b241d8f8b,2022-04-16,2022-04-17,ATL,DTW,KA0OA0MC,PT6H36M,0,FALSE,FALSE,FALSE,565.58,631.6,9,1477,1650204780||1650218220,2022-04-17T10:13:00.000-04:00||2022-04-17T13:57:00.000-04:00,1650210240||1650228540,2022-04-17T11:44:00.000-04:00||2022-04-17T16:49:00.000-04:00,SRQ||DTW,ATL||SRQ,Delta||Delta,DL||DL,Airbus A321||Boeing 737-900,5460||10320,446||1031,coach||coach
88fd2616fca75dfdcb484a4524e72f48,2022-04-16,2022-04-17,ATL,DTW,KA0OA0MC,PT7H54M,0,FALSE,FALSE,FALSE,565.58,631.6,9,1477,1650200100||1650218220,2022-04-17T08:55:00.000-04:00||2022-04-17T13:57:00.000-04:00,1650205260||1650228540,2022-04-17T10:21:00.000-04:00||2022-04-17T16:49:00.000-04:00,SRQ||DTW,ATL||SRQ,Delta||Delta,DL||DL,Airbus A321||Boeing 737-900,5160||10320,446||1031,coach||coach
1122006b99c9a15118b2e469815555db,2022-04-16,2022-04-17,ATL,DTW,QA0NA0MC,PT8H9M,1,FALSE,FALSE,FALSE,568.37,640.2,2,675,1650251400||1650276600,2022-04-17T23:10:00.000-04:00||2022-04-18T06:10:00.000-04:00,1650256980||1650280740,2022-04-18T00:43:00.000-04:00||2022-04-18T07:19:00.000-04:00,IND||DTW,ATL||IND,Delta||Delta,DL||DL,Boeing 737-900||Airbus A319,5580||4140,434||241,coach||coach
a71a37abbca335e01c56e8bf12ee794d,2022-04-16,2022-04-17,ATL,DTW,KA0NA0MC,PT4H20M,0,FALSE,FALSE,FALSE,582.33,649.61,4,1102,1650204600||1650212040,2022-04-17T10:10:00.000-04:00||2022-04-17T12:14:00.000-04:00,1650208920||1650220200,2022-04-17T11:22:00.000-04:00||2022-04-17T14:30:00.000-04:00,JAX||DTW,ATL||JAX,Delta||Delta,DL||DL,Boeing 757-200||Airbus A319,4320||8160,276||826,coach||coach
